datetime,value
2023-07-01 04:00:00,16.0
2023-07-01 04:15:00,14.3
2023-07-01 04:30:00,17.8
2023-07-01 04:45:00,14.3
2023-07-01 05:00:00,17.4
2023-07-01 05:15:00,18.2
2023-07-01 05:30:00,18.4
2023-07-01 05:45:00,16.4
2023-07-01 06:00:00,
2023-07-01 06:15:00,19.2
2023-07-01 06:30:00,21.3
2023-07-01 06:45:00,16.9
2023-07-01 07:00:00,19.0
2023-07-01 07:15:00,17.1
2023-07-01 07:30:00,19.0
2023-07-01 07:45:00,16.1
2023-07-01 08:00:00,16.7
2023-07-01 08:15:00,47.81463137145744
2023-07-01 08:30:00,15.3
2023-07-01 08:45:00,15.2
2023-07-01 09:00:00,13.2
2023-07-01 09:15:00,11.6
2023-07-01 09:30:00,11.8
2023-07-01 09:45:00,11.2
2023-07-01 10:00:00,12.6
2023-07-01 10:15:00,11.6
2023-07-01 10:30:00,12.9
2023-07-01 10:45:00,12.5
2023-07-01 11:00:00,12.0
2023-07-01 11:15:00,12.4
2023-07-01 11:30:00,13.6
2023-07-01 11:45:00,12.8
2023-07-01 12:00:00,14.8
2023-07-01 12:15:00,14.0
2023-07-01 12:30:00,13.8
2023-07-01 12:45:00,13.7
2023-07-01 13:00:00,15.6
2023-07-01 13:15:00,14.5
2023-07-01 13:30:00,16.4
2023-07-01 13:45:00,16.2
2023-07-01 14:00:00,14.6
2023-07-01 14:15:00,
2023-07-01 14:30:00,15.1
2023-07-01 14:45:00,15.3
2023-07-01 15:00:00,12.7
2023-07-01 15:15:00,15.0
2023-07-01 15:30:00,15.9
2023-07-01 15:45:00,15.0
2023-07-01 16:00:00,15.1
2023-07-01 16:15:00,14.6
2023-07-01 16:30:00,16.4
2023-07-01 16:45:00,20.7
2023-07-01 17:00:00,17.3
2023-07-01 17:15:00,16.2
2023-07-01 17:30:00,19.9
2023-07-01 17:45:00,16.2
2023-07-01 18:00:00,16.6
2023-07-01 18:15:00,17.5
2023-07-01 18:30:00,16.8
2023-07-01 18:45:00,17.0
2023-07-01 19:00:00,16.8
2023-07-01 19:15:00,16.6
2023-07-01 19:30:00,16.3
2023-07-01 19:45:00,15.9
2023-07-01 20:00:00,14.6
2023-07-01 20:15:00,14.6
2023-07-01 20:30:00,13.1
2023-07-01 20:45:00,11.1
2023-07-01 21:00:00,11.3
2023-07-01 21:15:00,12.6
2023-07-01 21:30:00,11.6
2023-07-01 21:45:00,10.8
