datetime,is_anomaly,anomaly_type,true_value,source
2024-05-15 19:45:00,False,,156.0,
2024-05-15 20:00:00,False,,156.0,
2024-05-15 20:15:00,False,,157.0,
2024-05-15 20:30:00,False,,154.0,
2024-05-15 20:45:00,False,,151.0,
2024-05-15 21:00:00,False,,157.0,
2024-05-15 21:15:00,False,,155.0,
2024-05-15 21:30:00,False,,149.0,
2024-05-15 21:45:00,False,,153.0,
2024-05-15 22:00:00,False,,144.0,
2024-05-15 22:15:00,False,,137.0,
2024-05-15 22:30:00,False,,146.0,
2024-05-15 22:45:00,False,,143.0,
2024-05-15 23:00:00,False,,144.0,
2024-05-15 23:15:00,False,,141.0,
2024-05-15 23:30:00,False,,141.0,
2024-05-15 23:45:00,False,,137.0,
2024-05-16 00:00:00,False,,137.0,
2024-05-16 00:15:00,False,,130.0,
2024-05-16 00:30:00,False,,137.0,
2024-05-16 00:45:00,False,,130.0,
2024-05-16 01:00:00,False,,134.0,
2024-05-16 01:15:00,False,,132.0,
2024-05-16 01:30:00,False,,128.0,
2024-05-16 01:45:00,False,,133.0,
2024-05-16 02:00:00,False,,125.0,
2024-05-16 02:15:00,False,,129.0,
2024-05-16 02:30:00,False,,128.0,
2024-05-16 02:45:00,False,,126.0,
2024-05-16 03:00:00,False,,134.0,
2024-05-16 03:15:00,False,,125.0,
2024-05-16 03:30:00,False,,123.0,
2024-05-16 03:45:00,True,plateau,125.0,injected
2024-05-16 04:00:00,True,plateau,125.0,injected
2024-05-16 04:15:00,True,plateau,122.0,injected
2024-05-16 04:30:00,True,plateau,123.0,injected
2024-05-16 04:45:00,True,plateau,120.0,injected
2024-05-16 05:00:00,True,plateau,123.0,injected
2024-05-16 05:15:00,True,plateau,120.0,injected
2024-05-16 05:30:00,True,plateau,121.0,injected
2024-05-16 05:45:00,True,plateau,120.0,injected
2024-05-16 06:00:00,True,plateau,116.0,injected
2024-05-16 06:15:00,True,plateau,115.0,injected
2024-05-16 06:30:00,True,plateau,119.0,injected
2024-05-16 06:45:00,True,plateau,111.0,injected
2024-05-16 07:00:00,True,plateau,108.0,injected
2024-05-16 07:15:00,True,plateau,115.0,injected
2024-05-16 07:30:00,True,plateau,117.0,injected
2024-05-16 07:45:00,True,plateau,118.0,injected
2024-05-16 08:00:00,True,plateau,112.0,injected
2024-05-16 08:15:00,True,plateau,118.0,injected
2024-05-16 08:30:00,True,plateau,117.0,injected
2024-05-16 08:45:00,True,plateau,112.0,injected
2024-05-16 09:00:00,True,plateau,111.0,injected
2024-05-16 09:15:00,True,plateau,112.0,injected
2024-05-16 09:30:00,True,plateau,116.0,injected
2024-05-16 09:45:00,True,plateau,109.0,injected
2024-05-16 10:00:00,True,plateau,105.0,injected
2024-05-16 10:15:00,True,plateau,113.0,injected
2024-05-16 10:30:00,True,plateau,108.0,injected
2024-05-16 10:45:00,True,plateau,106.0,injected
2024-05-16 11:00:00,True,plateau,107.0,injected
2024-05-16 11:15:00,True,plateau,110.0,injected
2024-05-16 11:30:00,True,plateau,109.0,injected
2024-05-16 11:45:00,True,plateau,107.0,injected
2024-05-16 12:00:00,True,plateau,107.0,injected
2024-05-16 12:15:00,False,,107.0,
2024-05-16 12:30:00,False,,107.0,
2024-05-16 12:45:00,False,,106.0,
2024-05-16 13:00:00,False,,102.0,
2024-05-16 13:15:00,False,,104.0,
2024-05-16 13:30:00,False,,102.0,
2024-05-16 13:45:00,False,,101.0,
2024-05-16 14:00:00,False,,100.0,
2024-05-16 14:15:00,False,,105.0,
2024-05-16 14:30:00,False,,99.4,
2024-05-16 14:45:00,False,,97.3,
2024-05-16 15:00:00,False,,96.3,
2024-05-16 15:15:00,False,,99.8,
2024-05-16 15:30:00,False,,99.3,
2024-05-16 15:45:00,False,,106.0,
2024-05-16 16:00:00,False,,98.5,
2024-05-16 16:15:00,False,,99.2,
2024-05-16 16:30:00,False,,102.0,
2024-05-16 16:45:00,True,gap,98.0,injected
2024-05-16 17:00:00,True,gap,102.0,injected
2024-05-16 17:15:00,True,gap,94.3,injected
2024-05-16 17:30:00,True,gap,98.9,injected
2024-05-16 17:45:00,False,,91.7,
2024-05-16 18:00:00,False,,93.2,
2024-05-16 18:15:00,False,,93.1,
2024-05-16 18:30:00,False,,93.5,
2024-05-16 18:45:00,False,,91.4,
2024-05-16 19:00:00,False,,92.1,
2024-05-16 19:15:00,False,,93.1,
2024-05-16 19:30:00,True,spike,101.0,injected
2024-05-16 19:45:00,False,,96.4,
2024-05-16 20:00:00,False,,93.1,
2024-05-16 20:15:00,False,,91.3,
2024-05-16 20:30:00,False,,92.4,
2024-05-16 20:45:00,True,gap,89.1,injected
2024-05-16 21:00:00,True,gap,88.4,injected
2024-05-16 21:15:00,True,gap,88.4,injected
2024-05-16 21:30:00,True,gap,88.7,injected
2024-05-16 21:45:00,True,gap,86.6,injected
2024-05-16 22:00:00,True,gap,86.6,injected
2024-05-16 22:15:00,True,gap,90.6,injected
2024-05-16 22:30:00,False,,89.6,
2024-05-16 22:45:00,False,,88.5,
2024-05-16 23:00:00,False,,84.5,
2024-05-16 23:15:00,False,,87.3,
2024-05-16 23:30:00,False,,86.5,
2024-05-16 23:45:00,False,,85.2,
2024-05-17 00:00:00,True,spike,85.9,injected
2024-05-17 00:15:00,True,spike,84.8,injected
2024-05-17 00:30:00,True,spike,83.9,injected
2024-05-17 00:45:00,False,,85.7,
2024-05-17 01:00:00,False,,84.0,
2024-05-17 01:15:00,False,,83.0,
2024-05-17 01:30:00,False,,81.6,
2024-05-17 01:45:00,False,,89.8,
2024-05-17 02:00:00,False,,90.6,
2024-05-17 02:15:00,False,,85.8,
2024-05-17 02:30:00,False,,80.8,
2024-05-17 02:45:00,False,,84.7,
2024-05-17 03:00:00,False,,83.4,
2024-05-17 03:15:00,False,,87.9,
2024-05-17 03:30:00,False,,85.9,
2024-05-17 03:45:00,False,,84.2,
2024-05-17 04:00:00,True,gap,,natural
2024-05-17 04:15:00,False,,83.3,
2024-05-17 04:30:00,True,gap,,natural
2024-05-17 04:45:00,False,,87.4,
2024-05-17 05:00:00,False,,79.6,
2024-05-17 05:15:00,False,,79.7,
2024-05-17 05:30:00,False,,84.4,
2024-05-17 05:45:00,False,,87.0,
2024-05-17 06:00:00,False,,82.0,
2024-05-17 06:15:00,False,,87.3,
2024-05-17 06:30:00,False,,73.9,
2024-05-17 06:45:00,False,,81.6,
2024-05-17 07:00:00,False,,87.7,
2024-05-17 07:15:00,False,,80.1,
2024-05-17 07:30:00,False,,80.6,
2024-05-17 07:45:00,False,,79.7,
2024-05-17 08:00:00,True,spike,84.5,injected
2024-05-17 08:15:00,True,spike,78.4,injected
2024-05-17 08:30:00,False,,77.2,
2024-05-17 08:45:00,False,,72.6,
2024-05-17 09:00:00,False,,77.3,
2024-05-17 09:15:00,False,,74.1,
2024-05-17 09:30:00,False,,72.4,
2024-05-17 09:45:00,False,,68.9,
2024-05-17 10:00:00,False,,75.6,
2024-05-17 10:15:00,False,,80.5,
2024-05-17 10:30:00,False,,76.0,
2024-05-17 10:45:00,False,,72.3,
2024-05-17 11:00:00,False,,72.1,
2024-05-17 11:15:00,False,,71.0,
2024-05-17 11:30:00,False,,72.1,
2024-05-17 11:45:00,False,,71.8,
2024-05-17 12:00:00,False,,72.6,
2024-05-17 12:15:00,False,,72.4,
2024-05-17 12:30:00,False,,71.7,
2024-05-17 12:45:00,False,,72.8,
2024-05-17 13:00:00,False,,75.1,
2024-05-17 13:15:00,False,,73.2,
2024-05-17 13:30:00,False,,72.3,
2024-05-17 13:45:00,False,,68.5,
2024-05-17 14:00:00,False,,74.8,
2024-05-17 14:15:00,False,,71.1,
2024-05-17 14:30:00,False,,71.9,
2024-05-17 14:45:00,False,,70.2,
2024-05-17 15:00:00,False,,67.1,
2024-05-17 15:15:00,False,,71.0,
2024-05-17 15:30:00,False,,71.2,
2024-05-17 15:45:00,False,,67.9,
2024-05-17 16:00:00,False,,66.2,
2024-05-17 16:15:00,False,,69.9,
2024-05-17 16:30:00,False,,74.8,
2024-05-17 16:45:00,False,,68.6,
2024-05-17 17:00:00,False,,72.9,
2024-05-17 17:15:00,False,,65.8,
2024-05-17 17:30:00,False,,69.2,
2024-05-17 17:45:00,False,,69.4,
2024-05-17 18:00:00,False,,62.6,
2024-05-17 18:15:00,False,,76.8,
2024-05-17 18:30:00,False,,70.2,
2024-05-17 18:45:00,True,gap,,natural
2024-05-17 19:00:00,False,,67.4,
2024-05-17 19:15:00,False,,66.8,
2024-05-17 19:30:00,False,,72.0,
2024-05-17 19:45:00,False,,67.7,
2024-05-17 20:00:00,False,,68.3,
2024-05-17 20:15:00,False,,65.8,
2024-05-17 20:30:00,False,,65.8,
2024-05-17 20:45:00,False,,66.2,
2024-05-17 21:00:00,True,gap,,natural
2024-05-17 21:15:00,False,,67.8,
2024-05-17 21:30:00,False,,67.0,
2024-05-17 21:45:00,False,,68.6,
2024-05-17 22:00:00,False,,69.6,
2024-05-17 22:15:00,False,,67.7,
2024-05-17 22:30:00,False,,65.8,
2024-05-17 22:45:00,False,,67.1,
2024-05-17 23:00:00,False,,68.7,
2024-05-17 23:15:00,False,,69.8,
2024-05-17 23:30:00,False,,70.3,
2024-05-17 23:45:00,False,,70.8,
