datetime,value,flag
2023-09-06 00:00:00,4.99,
2023-09-06 00:15:00,5.04,
2023-09-06 00:30:00,5.21,
2023-09-06 00:45:00,5.57,
2023-09-06 01:00:00,5.7,
2023-09-06 01:15:00,5.65,
2023-09-06 01:30:00,5.63,
2023-09-06 01:45:00,5.69,
2023-09-06 02:00:00,5.74,
2023-09-06 02:15:00,5.79,
2023-09-06 02:30:00,5.47,
2023-09-06 02:45:00,5.8,
2023-09-06 03:00:00,5.98,
2023-09-06 03:15:00,6.41,
2023-09-06 03:30:00,6.15,
2023-09-06 03:45:00,6.33,
2023-09-06 04:00:00,6.05,
2023-09-06 04:15:00,6.86,
2023-09-06 04:30:00,5.95,
2023-09-06 04:45:00,6.51,
2023-09-06 05:00:00,6.36,
2023-09-06 05:15:00,6.44,
2023-09-06 05:30:00,6.81,
2023-09-06 05:45:00,6.34,
2023-09-06 06:00:00,6.51,
2023-09-06 06:15:00,6.44,
2023-09-06 06:30:00,7.02,
2023-09-06 06:45:00,6.69,
2023-09-06 07:00:00,6.13,
2023-09-06 07:15:00,6.17,
2023-09-06 07:30:00,6.38,
2023-09-06 07:45:00,6.32,
2023-09-06 08:00:00,6.46,
2023-09-06 08:15:00,6.29,
2023-09-06 08:30:00,5.81,
2023-09-06 08:45:00,6.28,
2023-09-06 09:00:00,5.92,
2023-09-06 09:15:00,6.17,
2023-09-06 09:30:00,5.78,
2023-09-06 09:45:00,5.71,
2023-09-06 10:00:00,5.71,
2023-09-06 10:15:00,5.73,
2023-09-06 10:30:00,5.75,
2023-09-06 10:45:00,5.67,
2023-09-06 11:00:00,5.32,
2023-09-06 11:15:00,5.28,
2023-09-06 11:30:00,5.06,
2023-09-06 11:45:00,5.11,
2023-09-06 12:00:00,4.81,
2023-09-06 12:15:00,4.73,
2023-09-06 12:30:00,5.11,
2023-09-06 12:45:00,4.72,
2023-09-06 13:00:00,4.49,
2023-09-06 13:15:00,4.67,
2023-09-06 13:30:00,4.35,
2023-09-06 13:45:00,4.38,
2023-09-06 14:00:00,4.39,
2023-09-06 14:15:00,4.0,
2023-09-06 14:30:00,4.32,
2023-09-06 14:45:00,4.33,
2023-09-06 15:00:00,4.21,
2023-09-06 15:15:00,4.18,
2023-09-06 15:30:00,3.86,
2023-09-06 15:45:00,3.51,
2023-09-06 16:00:00,3.61,
2023-09-06 16:15:00,3.41,
2023-09-06 16:30:00,3.33,
2023-09-06 16:45:00,3.12,
2023-09-06 17:00:00,3.23,
2023-09-06 17:15:00,3.77,
2023-09-06 17:30:00,3.24,
2023-09-06 17:45:00,3.66,
2023-09-06 18:00:00,3.18,
2023-09-06 18:15:00,3.53,
2023-09-06 18:30:00,2.92,
2023-09-06 18:45:00,3.59,
2023-09-06 19:00:00,3.16,
2023-09-06 19:15:00,3.06,
2023-09-06 19:30:00,3.47,
2023-09-06 19:45:00,3.2,
2023-09-06 20:00:00,3.33,
2023-09-06 20:15:00,4.57,
2023-09-06 20:30:00,3.96,
2023-09-06 20:45:00,4.26,
2023-09-06 21:00:00,3.88,
2023-09-06 21:15:00,4.04,
2023-09-06 21:30:00,4.7,
2023-09-06 21:45:00,4.14,
2023-09-06 22:00:00,4.57,
2023-09-06 22:15:00,4.19,
2023-09-06 22:30:00,4.51,
2023-09-06 22:45:00,4.34,
2023-09-06 23:00:00,4.02,
2023-09-06 23:15:00,4.48,
2023-09-06 23:30:00,4.84,
2023-09-06 23:45:00,4.97,
2023-09-07 00:00:00,5.13,
2023-09-07 00:15:00,5.1,
2023-09-07 00:30:00,4.59,
2023-09-07 00:45:00,5.58,
2023-09-07 01:00:00,5.15,
2023-09-07 01:15:00,5.71,
2023-09-07 01:30:00,5.55,
2023-09-07 01:45:00,5.72,
2023-09-07 02:00:00,6.15,
2023-09-07 02:15:00,5.48,
2023-09-07 02:30:00,6.09,
2023-09-07 02:45:00,5.76,
2023-09-07 03:00:00,6.26,
2023-09-07 03:15:00,5.97,
2023-09-07 03:30:00,5.42,
2023-09-07 03:45:00,6.11,
2023-09-07 04:00:00,5.99,
2023-09-07 04:15:00,6.16,
2023-09-07 04:30:00,6.48,
2023-09-07 04:45:00,6.73,
2023-09-07 05:00:00,6.67,
2023-09-07 05:15:00,6.47,
2023-09-07 05:30:00,6.69,
2023-09-07 05:45:00,6.32,
2023-09-07 06:00:00,6.73,
2023-09-07 06:15:00,6.22,
2023-09-07 06:30:00,6.65,
2023-09-07 06:45:00,6.27,
2023-09-07 07:00:00,6.09,
2023-09-07 07:15:00,6.49,
2023-09-07 07:30:00,6.17,
2023-09-07 07:45:00,6.17,
2023-09-07 08:00:00,6.37,
2023-09-07 08:15:00,5.89,
2023-09-07 08:30:00,5.97,
2023-09-07 08:45:00,5.99,
2023-09-07 09:00:00,6.13,
2023-09-07 09:15:00,6.65,
2023-09-07 09:30:00,5.87,
2023-09-07 09:45:00,6.18,
2023-09-07 10:00:00,5.85,
2023-09-07 10:15:00,5.56,
2023-09-07 10:30:00,5.59,
2023-09-07 10:45:00,5.1,
2023-09-07 11:00:00,5.56,
2023-09-07 11:15:00,5.53,
2023-09-07 11:30:00,5.11,
2023-09-07 11:45:00,5.01,
2023-09-07 12:00:00,5.1,
2023-09-07 12:15:00,4.92,
2023-09-07 12:30:00,4.51,
2023-09-07 12:45:00,4.47,
2023-09-07 13:00:00,4.51,
2023-09-07 13:15:00,4.9,
2023-09-07 13:30:00,4.44,
2023-09-07 13:45:00,4.93,
2023-09-07 14:00:00,3.88,
2023-09-07 14:15:00,4.56,
2023-09-07 14:30:00,4.29,
2023-09-07 14:45:00,4.0,
2023-09-07 15:00:00,3.83,
2023-09-07 15:15:00,4.06,
2023-09-07 15:30:00,3.75,
2023-09-07 15:45:00,3.69,
2023-09-07 16:00:00,3.37,
2023-09-07 16:15:00,4.01,
2023-09-07 16:30:00,3.24,
2023-09-07 16:45:00,3.28,
2023-09-07 17:00:00,3.51,
2023-09-07 17:15:00,3.33,
2023-09-07 17:30:00,3.36,
2023-09-07 17:45:00,3.35,
2023-09-07 18:00:00,4.03,
2023-09-07 18:15:00,3.43,
2023-09-07 18:30:00,3.22,
2023-09-07 18:45:00,3.63,
2023-09-07 19:00:00,3.46,
2023-09-07 19:15:00,3.71,
2023-09-07 19:30:00,3.32,
2023-09-07 19:45:00,3.33,
2023-09-07 20:00:00,4.15,
2023-09-07 20:15:00,3.95,
2023-09-07 20:30:00,4.18,
2023-09-07 20:45:00,4.24,
2023-09-07 21:00:00,4.09,
2023-09-07 21:15:00,4.26,
2023-09-07 21:30:00,4.1,
2023-09-07 21:45:00,4.0,
2023-09-07 22:00:00,3.99,
2023-09-07 22:15:00,3.9,
2023-09-07 22:30:00,4.73,
2023-09-07 22:45:00,4.66,
2023-09-07 23:00:00,4.98,
2023-09-07 23:15:00,5.04,
2023-09-07 23:30:00,5.16,
2023-09-07 23:45:00,5.08,
2023-09-08 00:00:00,5.03,
2023-09-08 00:15:00,4.88,
2023-09-08 00:30:00,5.38,
2023-09-08 00:45:00,5.16,
2023-09-08 01:00:00,5.41,
2023-09-08 01:15:00,5.63,
2023-09-08 01:30:00,5.31,
2023-09-08 01:45:00,6.49,
2023-09-08 02:00:00,5.42,
2023-09-08 02:15:00,6.0,
2023-09-08 02:30:00,5.97,
2023-09-08 02:45:00,6.22,
2023-09-08 03:00:00,6.24,
2023-09-08 03:15:00,5.89,
2023-09-08 03:30:00,6.33,
2023-09-08 03:45:00,6.24,
2023-09-08 04:00:00,6.33,
2023-09-08 04:15:00,6.14,
2023-09-08 04:30:00,6.64,
2023-09-08 04:45:00,6.39,
2023-09-08 05:00:00,6.29,
2023-09-08 05:15:00,6.53,
2023-09-08 05:30:00,6.12,
2023-09-08 05:45:00,6.75,
2023-09-08 06:00:00,6.67,
2023-09-08 06:15:00,6.59,
2023-09-08 06:30:00,6.32,
2023-09-08 06:45:00,6.82,
2023-09-08 07:00:00,6.74,
2023-09-08 07:15:00,6.75,
2023-09-08 07:30:00,6.31,
2023-09-08 07:45:00,6.11,
2023-09-08 08:00:00,6.55,
2023-09-08 08:15:00,6.03,
2023-09-08 08:30:00,6.57,
2023-09-08 08:45:00,6.03,
2023-09-08 09:00:00,6.04,
2023-09-08 09:15:00,6.17,
2023-09-08 09:30:00,5.75,
2023-09-08 09:45:00,5.6,
2023-09-08 10:00:00,5.68,
2023-09-08 10:15:00,5.62,
2023-09-08 10:30:00,5.79,
2023-09-08 10:45:00,5.73,
2023-09-08 11:00:00,5.7,
2023-09-08 11:15:00,5.24,
2023-09-08 11:30:00,5.3,
2023-09-08 11:45:00,5.32,
2023-09-08 12:00:00,5.09,
2023-09-08 12:15:00,4.62,
2023-09-08 12:30:00,4.98,
2023-09-08 12:45:00,4.79,
2023-09-08 13:00:00,4.73,
2023-09-08 13:15:00,4.73,
2023-09-08 13:30:00,4.22,
2023-09-08 13:45:00,4.67,
2023-09-08 14:00:00,11.8,flag_spike_unilof
2023-09-08 14:15:00,4.18,
2023-09-08 14:30:00,3.97,
2023-09-08 14:45:00,4.14,
2023-09-08 15:00:00,3.87,
2023-09-08 15:15:00,3.65,
2023-09-08 15:30:00,3.86,
2023-09-08 15:45:00,3.9,
2023-09-08 16:00:00,3.52,
2023-09-08 16:15:00,3.75,
2023-09-08 16:30:00,3.43,
2023-09-08 16:45:00,4.05,
2023-09-08 17:00:00,3.83,
2023-09-08 17:15:00,3.29,
2023-09-08 17:30:00,3.46,
2023-09-08 17:45:00,3.48,
2023-09-08 18:00:00,2.96,
2023-09-08 18:15:00,3.4,
2023-09-08 18:30:00,3.41,
2023-09-08 18:45:00,3.74,
2023-09-08 19:00:00,3.82,
2023-09-08 19:15:00,3.45,
2023-09-08 19:30:00,3.27,
2023-09-08 19:45:00,3.88,
2023-09-08 20:00:00,3.96,
2023-09-08 20:15:00,3.96,
2023-09-08 20:30:00,4.05,
2023-09-08 20:45:00,3.77,
2023-09-08 21:00:00,3.91,
2023-09-08 21:15:00,4.24,
2023-09-08 21:30:00,4.13,
2023-09-08 21:45:00,4.0,
2023-09-08 22:00:00,4.38,
2023-09-08 22:15:00,4.3,
2023-09-08 22:30:00,4.18,
2023-09-08 22:45:00,4.89,
2023-09-08 23:00:00,4.59,
2023-09-08 23:15:00,4.19,
2023-09-08 23:30:00,4.7,
2023-09-08 23:45:00,5.33,
2023-09-09 00:00:00,4.54,
2023-09-09 00:15:00,5.04,
2023-09-09 00:30:00,4.81,
2023-09-09 00:45:00,5.44,
