set,dataset,overall,spike,spike_n,plateau,plateau_n,level_shift,level_shift_n,gap,gap_n
5min,01467200_l1,100.0,100.0,63,100.0,123,100.0,117,100.0,126
5min,01467200_l2,80.8,100.0,169,100.0,334,48.1,491,100.0,337
5min,01467200_l3,85.4,100.0,337,100.0,669,35.8,497,100.0,675
5min,02054550_l1,56.3,100.0,63,93.7,126,0.4,232,100.0,126
5min,02054550_l2,72.4,98.2,169,91.5,331,4.1,293,100.0,337
5min,02054550_l3,91.7,99.1,337,96.1,670,72.5,575,100.0,675
5min,040851385_l1,83.1,100.0,63,100.0,126,12.0,75,100.0,126
5min,040851385_l2,97.7,100.0,169,92.5,335,100.0,254,100.0,337
5min,040851385_l3,76.9,100.0,337,78.6,668,23.5,459,100.0,675
15min,02198840_l1,79.3,100.0,21,85.7,42,44.4,45,100.0,42
15min,02198840_l2,93.9,98.2,56,100.0,107,63.5,52,100.0,112
15min,02198840_l3,78.5,100.0,112,100.0,225,6.5,168,100.0,225
15min,03447687_l1,58.3,100.0,21,83.3,42,16.1,87,100.0,42
15min,03447687_l2,91.4,100.0,56,89.9,109,69.5,59,100.0,112
15min,03447687_l3,80.8,100.0,112,100.0,225,12.7,158,100.0,225
15min,08041770_l1,61.6,100.0,21,100.0,42,5.6,72,100.0,42
15min,08041770_l2,71.9,100.0,56,100.0,112,1.8,112,100.0,112
15min,08041770_l3,86.1,100.0,112,100.0,225,48.3,207,100.0,225
