site_no,station_nm,approved_pct,n_approved,dt_min,span_days,complete_pct,grid_complete_pct,nan_pct,longest_gap_hr,unbroken_days,median_fnu,p05_fnu,p95_fnu,max_fnu,n_base_spikes,base_spike_pct,n_raw,note,state,lat,lon
072632996,"Lk Maumelle Raw Water Intake nr Natural Steps,AR",100.0,207394.0,5.0,732.0,98.4,98.4,0.0,25.5,240.0,2.8,1.0,9.5,26.6,71.0,0.034,,,AR,34.85194444,-92.4891667
01467200,"Delaware River at Penn's Landing, Philadelphia, PA",100.0,203720.0,5.0,732.0,96.6,96.6,0.0,126.2,289.0,6.5,2.9,16.2,95.8,206.0,0.101,,,PA,39.946402,-75.1393603
02054550,"ROANOKE RIVER AT RTS 639/760 AT SALEM, VA",100.0,202278.0,5.0,732.0,96.0,96.0,0.0,82.5,143.0,1.9,0.5,20.7,817.0,622.0,0.307,,,VA,37.278056,-80.105278
16238500,"Waihi Stream at Honolulu, Oahu, HI",100.0,200259.0,5.0,732.0,95.0,95.0,0.0,91.1,175.0,3.3,1.0,32.1,5420.0,629.0,0.314,,,HI,21.3283611,-157.800861
01579550,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",100.0,205558.0,5.0,731.0,97.7,97.7,0.0,336.8,322.0,6.4,0.9,32.2,275.0,755.0,0.367,,,MD,39.62605556,-76.15775
01585075,"FOSTER BRANCH NEAR JOPPATOWNE, MD",100.0,208196.0,5.0,732.0,98.8,98.8,0.0,109.3,521.0,11.6,5.5,91.1,3400.0,772.0,0.371,,,MD,39.40852778,-76.34263889
01648010,"Rock Creek at Joyce Rd Washington, DC",100.0,205561.0,5.0,732.0,97.5,97.5,0.0,172.2,315.0,3.8,1.2,40.1,668.0,778.0,0.378,,,DC,38.960167,-77.042056
0164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",100.0,208388.0,5.0,732.0,98.8,98.8,0.0,52.8,190.0,2.4,0.4,15.9,424.0,794.0,0.381,,,VA,38.9256,-77.32933889
01581752,"PLUMTREE RUN NEAR BEL AIR, MD",100.0,205447.0,5.0,732.0,97.5,97.5,0.0,122.6,424.0,0.5,0.0,8.2,1260.0,812.0,0.395,,,MD,39.49627778,-76.34744444
040851385,"FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI",100.0,201120.0,5.0,732.0,95.4,95.4,0.0,314.5,246.0,11.3,4.1,37.7,186.0,826.0,0.411,,,WI,44.5286111,-88.01
01650800,"SLIGO CREEK NEAR TAKOMA PARK, MD",100.0,208642.0,5.0,732.0,99.0,99.0,0.0,22.6,182.0,1.5,0.4,18.1,961.0,989.0,0.474,,,MD,38.9862222,-77.0048611
01651770,"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",100.0,522338.0,2.0,732.0,99.1,99.1,0.0,54.6,498.0,6.8,2.1,41.1,2760.0,3260.0,0.624,,,DC,38.9161111,-76.9688611
01649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",100.0,202494.0,5.0,732.0,96.1,96.1,0.0,161.4,260.0,4.3,1.3,44.1,1890.0,1516.0,0.749,,,MD,38.96025,-76.9259722
