dataset,cadence,rule,n_true,n_cand,recall,prec
01467200_l1,5min,abs 1.3,63,1288,1.0,0.04891304347826087
01467200_l1,5min,abs 1.5,63,648,1.0,0.09722222222222222
01467200_l1,5min,abs 1.8,63,338,1.0,0.1863905325443787
01467200_l1,5min,abs 2.2,63,208,0.9365079365079365,0.28365384615384615
01467200_l1,5min,mad 4,63,7273,1.0,0.008662175168431183
01467200_l1,5min,mad 6,63,4041,1.0,0.015590200445434299
01467200_l1,5min,mad 8,63,2694,1.0,0.02338530066815145
01467200_l1,5min,budget 175,63,170,0.8888888888888888,0.32941176470588235
01467200_l2,5min,abs 1.3,169,1397,1.0,0.12097351467430208
01467200_l2,5min,abs 1.5,169,756,0.9940828402366864,0.2222222222222222
01467200_l2,5min,abs 1.8,169,442,0.9822485207100592,0.3755656108597285
01467200_l2,5min,abs 2.2,169,305,0.9289940828402367,0.5147540983606558
01467200_l2,5min,mad 4,169,7371,1.0,0.02292768959435626
01467200_l2,5min,mad 6,169,4145,1.0,0.040772014475271415
01467200_l2,5min,mad 8,169,2798,1.0,0.06040028591851322
01467200_l2,5min,budget 175,169,169,0.7337278106508875,0.7337278106508875
01467200_l3,5min,abs 1.3,337,1528,1.0,0.2205497382198953
01467200_l3,5min,abs 1.5,337,900,0.9910979228486647,0.3711111111111111
01467200_l3,5min,abs 1.8,337,594,0.9703264094955489,0.5505050505050505
01467200_l3,5min,abs 2.2,337,452,0.913946587537092,0.6814159292035398
01467200_l3,5min,mad 4,337,7533,1.0,0.0447364927651666
01467200_l3,5min,mad 6,337,4281,1.0,0.07871992525110956
01467200_l3,5min,mad 8,337,2930,1.0,0.11501706484641638
01467200_l3,5min,budget 175,337,169,0.4540059347181009,0.9053254437869822
02054550_l1,5min,abs 1.3,63,2174,0.9523809523809523,0.027598896044158234
02054550_l1,5min,abs 1.5,63,1234,0.9047619047619048,0.046191247974068074
02054550_l1,5min,abs 1.8,63,718,0.8571428571428571,0.07520891364902507
02054550_l1,5min,abs 2.2,63,414,0.6666666666666666,0.10144927536231885
02054550_l1,5min,mad 4,63,8136,0.9523809523809523,0.007374631268436578
02054550_l1,5min,mad 6,63,5644,0.9523809523809523,0.010630758327427357
02054550_l1,5min,mad 8,63,4388,0.9523809523809523,0.013673655423883319
02054550_l1,5min,budget 175,63,168,0.49206349206349204,0.18452380952380953
02054550_l2,5min,abs 1.3,169,2272,0.9644970414201184,0.07174295774647887
02054550_l2,5min,abs 1.5,169,1331,0.9171597633136095,0.11645379413974455
02054550_l2,5min,abs 1.8,169,816,0.893491124260355,0.18504901960784315
02054550_l2,5min,abs 2.2,169,511,0.8402366863905325,0.27788649706457924
02054550_l2,5min,mad 4,169,8229,1.0,0.020537124802527645
02054550_l2,5min,mad 6,169,5719,0.9822485207100592,0.029026053505857668
02054550_l2,5min,mad 8,169,4473,0.9822485207100592,0.037111558238318805
02054550_l2,5min,budget 175,169,168,0.5029585798816568,0.5059523809523809
02054550_l3,5min,abs 1.3,337,2445,0.9643916913946587,0.1329243353783231
