site_no,station_nm,state,lat,lon,huc_cd,site_tp_cd,begin_date,end_date,record_days,dt_min,n,approved_pct,precip_00045
01651770,"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",DC,38.9161111,-76.9688611,2070010.0,ST,2020-01-17,2026-08-17,2404.0,2.0,2877,0.0,False
01651800,"WATTS BRANCH AT WASHINGTON, DC",DC,38.90127778,-76.94327778,20700100204.0,ST,2020-01-22,2026-08-17,2399.0,2.0,2880,0.0,False
01304650,SHELTER ISLAND SOUND AT SHELTER ISLAND NY,NY,41.04430556,-72.3169722,2030202.0,ES,2022-09-19,2026-08-17,1428.0,2.0,1913,0.0,False
444306122144600,"DETROIT LAKE AT LOG BOOM BEHIND DETROIT DAM, OR",OR,44.7183194,-122.2461389,17090005.0,LK,2022-06-13,2026-08-17,1526.0,2.0,304,0.0,False
01649190,"PAINT BRANCH NEAR COLLEGE PARK, MD",MD,39.03336111,-76.96402778,20700100202.0,ST,2020-03-10,2026-08-17,2351.0,5.0,1148,100.0,False
0164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",VA,38.9256,-77.32933889,2070008.0,ST,2021-05-18,2026-08-17,1917.0,5.0,1152,100.0,False
01648010,"Rock Creek at Joyce Rd Washington, DC",DC,38.960167,-77.042056,20700100102.0,ST,2021-05-24,2026-08-17,1911.0,5.0,1152,100.0,False
02054550,"ROANOKE RIVER AT RTS 639/760 AT SALEM, VA",VA,37.278056,-80.105278,30101010301.0,ST,2020-10-14,2026-08-17,2133.0,5.0,1127,100.0,False
01467200,"Delaware River at Penn's Landing, Philadelphia, PA",PA,39.946402,-75.1393603,2040202.0,ST,2021-10-28,2026-08-17,1754.0,5.0,1144,0.0,False
14246900,"COLUMBIA RIVER AT PORT WESTWARD, NEAR QUINCY, OR",OR,46.18122136,-123.1834539,17080003.0,ST-TS,2015-11-20,2026-08-17,3923.0,5.0,1150,0.0,False
073625897,"Lake Winona Raw Water Intake Pipe near Reform, AR",AR,34.7958333,-92.8416667,8040203.0,LK,2016-10-19,2026-08-17,3589.0,5.0,1049,100.0,False
072632996,"Lk Maumelle Raw Water Intake nr Natural Steps,AR",AR,34.85194444,-92.4891667,11110207.0,LK,2016-10-20,2026-08-17,3588.0,5.0,1149,100.0,False
16247100,"Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI",HI,21.28652778,-157.8185556,20060000.0,ST-CA,2019-09-12,2026-08-17,2531.0,5.0,1128,0.0,False
16249000,"Waimanalo Str at Waimanalo, Oahu, HI",HI,21.34997222,-157.7289167,20060000.0,ST,2019-10-24,2026-08-17,2489.0,5.0,1017,100.0,False
16265000,"Kawa Str at Kaneohe, Oahu, HI",HI,21.40575,-157.7905,20060000.0,ST,2019-09-13,2026-08-17,2530.0,5.0,1145,100.0,False
05406469,"BREWERY CREEK-UPSTREAM SITE-AT CROSS PLAINS, WI",WI,43.12527778,-89.635,7070005.0,ST,2014-07-23,2026-08-17,4408.0,5.0,1152,0.0,False
03197937,"ELK RIVER AB ELK TWOMILE CREEK AT CHARLESTON, WV",WV,38.3692472,-81.60695,5050007.0,ST,2023-09-27,2026-08-17,1055.0,5.0,1148,100.0,False
03197950,"ELK RIVER AT CHARLESTON, WV",WV,38.3581527,-81.627068,5050007.0,ST,2023-09-25,2026-08-17,1057.0,5.0,1152,100.0,False
01651730,"BEAVERDAM CREEK NEAR CHEVERLY, MD",MD,38.91630556,-76.9343056,2070010.0,ST,2020-01-10,2026-08-17,2411.0,5.0,1152,100.0,False
01649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",MD,38.96025,-76.9259722,2070010.0,ST,2018-05-23,2026-08-17,3008.0,5.0,1143,0.0,False
05406479,"BLACK EARTH CK NR TREATMENT PLNT @ CROSS PLAINS,WI",WI,43.1147222,-89.6641667,7070005.0,ST,2009-10-02,2026-08-17,6163.0,5.0,56,0.0,False
16274100,"Kaneohe Str blw Kamehameha Hwy, Oahu, HI",HI,21.41180556,-157.798111,20060000.0,ST,2017-11-21,2026-08-17,3191.0,5.0,1138,100.0,False
16238500,"Waihi Stream at Honolulu, Oahu, HI",HI,21.3283611,-157.800861,20060000.0,ST,2017-10-05,2026-08-17,3238.0,5.0,677,100.0,False
16238000,"Makiki Stream at King St. bridge, Oahu, HI",HI,21.29663889,-157.83675,20060000.0,ST,2017-09-12,2026-08-17,3261.0,5.0,651,100.0,False
16210500,"Kaukonahua Str at Waialua, Oahu, HI",HI,21.56530556,-158.120361,20060000.0,ST,2017-09-22,2026-08-17,3251.0,5.0,235,100.0,False
12117500,"CEDAR RIVER NEAR LANDSBURG, WA",WA,47.39368648,-121.9545378,17110012.0,ST,2021-12-17,2026-08-17,1704.0,5.0,1152,0.0,False
