site_no,station_nm,approved_pct,n_approved,dt_min,span_days,complete_pct,grid_complete_pct,nan_pct,longest_gap_hr,unbroken_days,median_fnu,p05_fnu,p95_fnu,max_fnu,n_base_spikes,base_spike_pct,n_raw,note
01651770,"HICKEY RUN AT NATIONAL ARBORETUM AT WASHINGTON, DC",100.0,522338.0,2.0,732.0,99.1,99.1,0.0,54.6,498.0,6.8,2.1,41.1,2760.0,3260.0,0.624,,
01651800,"WATTS BRANCH AT WASHINGTON, DC",100.0,500366.0,2.0,732.0,94.9,94.9,0.0,337.6,252.0,6.8,2.0,39.6,1130.0,1640.0,0.328,,
01304650,SHELTER ISLAND SOUND AT SHELTER ISLAND NY,77.6,121558.0,6.0,606.0,83.6,83.6,0.0,1160.9,147.0,2.8,1.6,5.9,64.4,1350.0,1.111,,
444306122144600,"DETROIT LAKE AT LOG BOOM BEHIND DETROIT DAM, OR",30.9,9001.0,60.0,732.0,51.2,51.2,0.0,4037.0,110.0,0.8,0.2,3.4,36.0,185.0,2.056,,
01649190,"PAINT BRANCH NEAR COLLEGE PARK, MD",50.6,99629.0,5.0,729.0,47.4,47.4,0.0,8738.8,131.0,1.1,0.3,12.6,601.0,1217.0,1.222,,
0164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",100.0,208388.0,5.0,732.0,98.8,98.8,0.0,52.8,190.0,2.4,0.4,15.9,424.0,794.0,0.381,,
01648010,"Rock Creek at Joyce Rd Washington, DC",100.0,205561.0,5.0,732.0,97.5,97.5,0.0,172.2,315.0,3.8,1.2,40.1,668.0,778.0,0.378,,
02054550,"ROANOKE RIVER AT RTS 639/760 AT SALEM, VA",100.0,202278.0,5.0,732.0,96.0,96.0,0.0,82.5,143.0,1.9,0.5,20.7,817.0,622.0,0.307,,
01467200,"Delaware River at Penn's Landing, Philadelphia, PA",100.0,203720.0,5.0,732.0,96.6,96.6,0.0,126.2,289.0,6.5,2.9,16.2,95.8,206.0,0.101,,
14246900,"COLUMBIA RIVER AT PORT WESTWARD, NEAR QUINCY, OR",29.3,61691.0,5.0,214.0,100.3,99.9,0.0,0.7,214.0,3.5,2.0,27.6,120.0,19.0,0.031,,
073625897,"Lake Winona Raw Water Intake Pipe near Reform, AR",100.0,183557.0,5.0,732.0,87.1,87.1,0.0,270.1,379.0,1.5,0.5,6.3,34.5,4.0,0.002,,
072632996,"Lk Maumelle Raw Water Intake nr Natural Steps,AR",100.0,207394.0,5.0,732.0,98.4,98.4,0.0,25.5,240.0,2.8,1.0,9.5,26.6,71.0,0.034,,
16247100,"Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI",0.0,,,,,,,,,,,,,,,173764.0,no approved rows in window
16249000,"Waimanalo Str at Waimanalo, Oahu, HI",100.0,190947.0,5.0,727.0,91.1,91.1,0.0,428.3,137.0,6.0,3.0,19.0,4920.0,520.0,0.272,,
16265000,"Kawa Str at Kaneohe, Oahu, HI",100.0,174311.0,5.0,732.0,82.7,82.7,0.0,1800.3,328.0,3.0,1.0,13.2,1150.0,639.0,0.367,,
05406469,"BREWERY CREEK-UPSTREAM SITE-AT CROSS PLAINS, WI",0.0,,,,,,,,,,,,,,,157469.0,no approved rows in window
03197937,"ELK RIVER AB ELK TWOMILE CREEK AT CHARLESTON, WV",100.0,181946.0,5.0,644.0,98.2,98.2,0.0,238.9,427.0,5.4,1.9,55.0,867.0,662.0,0.364,,
03197950,"ELK RIVER AT CHARLESTON, WV",100.0,179584.0,5.0,646.0,96.6,96.6,0.0,70.7,234.0,6.8,2.7,54.4,904.0,693.0,0.386,,
01651730,"BEAVERDAM CREEK NEAR CHEVERLY, MD",100.0,198737.0,5.0,732.0,94.3,94.3,0.0,221.1,212.0,9.0,4.0,74.8,1030.0,1668.0,0.839,,
01649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",100.0,202494.0,5.0,732.0,96.1,96.1,0.0,161.4,260.0,4.3,1.3,44.1,1890.0,1516.0,0.749,,
05406479,"BLACK EARTH CK NR TREATMENT PLNT @ CROSS PLAINS,WI",0.0,,,,,,,,,,,,,,,128277.0,no approved rows in window
16274100,"Kaneohe Str blw Kamehameha Hwy, Oahu, HI",100.0,178705.0,5.0,732.0,84.8,84.8,0.0,1249.6,133.0,10.0,6.0,24.0,1760.0,555.0,0.311,,
16238500,"Waihi Stream at Honolulu, Oahu, HI",100.0,200259.0,5.0,732.0,95.0,95.0,0.0,91.1,175.0,3.3,1.0,32.1,5420.0,629.0,0.314,,
16238000,"Makiki Stream at King St. bridge, Oahu, HI",100.0,188150.0,5.0,732.0,89.2,89.2,0.0,483.1,97.0,2.0,0.7,14.6,2090.0,1900.0,1.01,,
16210500,"Kaukonahua Str at Waialua, Oahu, HI",100.0,67253.0,5.0,273.0,85.4,85.4,0.0,376.5,92.0,11.0,5.0,56.0,1300.0,40.0,0.059,,
12117500,"CEDAR RIVER NEAR LANDSBURG, WA",100.0,127068.0,5.0,705.0,62.6,62.6,0.0,460.1,117.0,0.7,0.3,2.5,26.4,1722.0,1.355,,
0204289131,"STORM DRAIN AT DAISY DRIVE NEAR PORTSMOUTH, VA",46.8,81234.0,5.0,402.0,70.1,70.1,0.0,401.4,38.0,5.6,1.1,24.7,1540.0,1213.0,1.493,,
0204289402,"STORM DRAIN AT CRANEYBROOK LANE AT EDGEFIELD, VA",53.8,107135.0,5.0,402.0,92.4,92.4,0.0,81.0,54.0,3.5,0.3,15.2,670.0,1753.0,1.636,,
01581752,"PLUMTREE RUN NEAR BEL AIR, MD",100.0,205447.0,5.0,732.0,97.5,97.5,0.0,122.6,424.0,0.5,0.0,8.2,1260.0,812.0,0.395,,
05406457,"BLACK EARTH CREEK NR BREWERY RD AT CROSS PLAINS,WI",0.0,,,,,,,,,,,,,,,141009.0,no approved rows in window
