dataset,gauge,window,q,thresh,n_events,detected,n_flagged
01467200_l1,01467200,3h,0.98,7.488507936507933,2,0,439
01467200_l1,01467200,3h,0.99,9.139111111111125,2,0,231
01467200_l1,01467200,3h,0.995,10.700277777777792,2,0,108
01467200_l1,01467200,6h,0.98,4.8537142857142905,2,2,343
01467200_l1,01467200,6h,0.99,5.995014492753636,2,2,144
01467200_l1,01467200,6h,0.995,7.422371428571405,2,0,70
01467200_l1,01467200,12h,0.98,4.168203322499095,2,2,300
01467200_l1,01467200,12h,0.99,6.2819487003824905,2,0,130
01467200_l1,01467200,12h,0.995,9.529523288266505,2,0,6
01467200_l2,01467200,3h,0.98,7.56388888888889,5,3,440
01467200_l2,01467200,3h,0.99,9.238813492063503,5,2,227
01467200_l2,01467200,3h,0.995,10.803787698412672,5,2,106
01467200_l2,01467200,6h,0.98,4.956114241001571,5,5,330
01467200_l2,01467200,6h,0.99,6.227777777777777,5,5,131
01467200_l2,01467200,6h,0.995,8.25705985915503,5,5,69
01467200_l2,01467200,12h,0.98,4.5884340766823115,5,5,200
01467200_l2,01467200,12h,0.99,7.716856940561852,5,5,22
01467200_l2,01467200,12h,0.995,10.84591269590873,5,5,10
01467200_l3,01467200,3h,0.98,7.5231096171802045,7,4,432
01467200_l3,01467200,3h,0.99,9.146917460317468,7,2,228
01467200_l3,01467200,3h,0.995,10.762857142857154,7,1,108
01467200_l3,01467200,6h,0.98,4.957746478873239,7,5,321
01467200_l3,01467200,6h,0.99,6.232008573178193,7,6,134
01467200_l3,01467200,6h,0.995,7.842984015836954,7,3,73
01467200_l3,01467200,12h,0.98,4.420224515570011,7,4,268
01467200_l3,01467200,12h,0.99,6.764680515884771,7,4,97
01467200_l3,01467200,12h,0.995,9.558673802065833,7,2,7
02054550_l1,02054550,3h,0.98,19.696166666666652,1,0,710
02054550_l1,02054550,3h,0.99,43.686928571428545,1,0,240
02054550_l1,02054550,3h,0.995,90.91601388888878,1,0,112
02054550_l1,02054550,6h,0.98,33.93194444444444,1,0,466
02054550_l1,02054550,6h,0.99,75.17048611111113,1,0,162
02054550_l1,02054550,6h,0.995,136.19552034428793,1,0,80
02054550_l1,02054550,12h,0.98,54.94672438549892,1,0,255
02054550_l1,02054550,12h,0.99,106.93414939309038,1,0,184
02054550_l1,02054550,12h,0.995,176.84084623015931,1,0,125
02054550_l2,02054550,3h,0.98,19.78776984126979,2,0,706
02054550_l2,02054550,3h,0.99,43.81541666666696,2,0,240
02054550_l2,02054550,3h,0.995,90.99569444444478,2,0,111
02054550_l2,02054550,6h,0.98,33.97666666666668,2,0,467
02054550_l2,02054550,6h,0.99,75.25474516908157,2,0,162
02054550_l2,02054550,6h,0.995,136.60209054819083,2,0,80
02054550_l2,02054550,12h,0.98,55.02801048951047,2,0,255
02054550_l2,02054550,12h,0.99,107.13181743714028,2,0,184
02054550_l2,02054550,12h,0.995,176.91818055555606,2,0,125
02054550_l3,02054550,3h,0.98,19.791666666666508,5,0,705
02054550_l3,02054550,3h,0.99,43.96611111111107,5,0,237
02054550_l3,02054550,3h,0.995,90.95478056068731,5,0,112
02054550_l3,02054550,6h,0.98,33.93188888888891,5,0,465
02054550_l3,02054550,6h,0.99,75.67703435127835,5,0,161
02054550_l3,02054550,6h,0.995,136.74113986139054,5,0,80
02054550_l3,02054550,12h,0.98,55.185861111111095,5,0,255
02054550_l3,02054550,12h,0.99,107.47461029411753,5,0,183
02054550_l3,02054550,12h,0.995,177.5800598021585,5,0,124
040851385_l1,040851385,3h,0.98,6.786111111111111,1,0,401
040851385_l1,040851385,3h,0.99,9.642970634920639,1,0,182
040851385_l1,040851385,3h,0.995,13.231040476190499,1,0,75
040851385_l1,040851385,6h,0.98,8.938888888888892,1,0,460
040851385_l1,040851385,6h,0.99,13.99730831172769,1,0,144
040851385_l1,040851385,6h,0.995,19.445155874702,1,0,46
040851385_l1,040851385,12h,0.98,13.024815462430425,1,0,422
040851385_l1,040851385,12h,0.99,21.062056516636055,1,0,123
040851385_l1,040851385,12h,0.995,28.383811465867787,1,0,75
040851385_l2,040851385,3h,0.98,6.986111111111109,2,1,388
040851385_l2,040851385,3h,0.99,9.892416666666646,2,0,173
040851385_l2,040851385,3h,0.995,13.265235679998513,2,0,75
040851385_l2,040851385,6h,0.98,8.938406885758997,2,0,463
040851385_l2,040851385,6h,0.99,14.005992370892038,2,0,145
040851385_l2,040851385,6h,0.995,19.38981600340534,2,0,46
040851385_l2,040851385,12h,0.98,13.041699507670497,2,0,415
040851385_l2,040851385,12h,0.99,20.9813649424673,2,0,121
040851385_l2,040851385,12h,0.995,28.1642153106965,2,0,72
040851385_l3,040851385,3h,0.98,7.0468777777777785,8,4,370
040851385_l3,040851385,3h,0.99,9.904815233785826,8,2,176
040851385_l3,040851385,3h,0.995,13.460662745098052,8,1,81
040851385_l3,040851385,6h,0.98,8.983820603575841,8,3,442
040851385_l3,040851385,6h,0.99,13.817582263186965,8,1,150
040851385_l3,040851385,6h,0.995,19.66309207516338,8,0,45
040851385_l3,040851385,12h,0.98,13.085689654564067,8,0,430
040851385_l3,040851385,12h,0.99,21.303713803336137,8,0,127
040851385_l3,040851385,12h,0.995,29.005654659942188,8,0,77
