dataset,window,q,thresh,n_events,detected,n_flagged,per_month
01467200_l1,1h,0.99,7.475000000000001,2,0,213,8.875
01467200_l1,1h,0.995,9.058333333333332,2,0,137,5.708333333333333
01467200_l1,1h,0.999,12.633041666666491,2,0,37,1.5416666666666667
01467200_l1,1h,0.9995,14.117700186996148,2,0,22,0.9166666666666666
01467200_l1,1h,0.9999,16.346047348484962,2,0,9,0.375
01467200_l1,1h,0.99995,16.850640151515574,2,0,6,0.25
01467200_l1,3h,0.99,9.139111111111125,2,0,231,9.625
01467200_l1,3h,0.995,10.700277777777792,2,0,108,4.5
01467200_l1,3h,0.999,14.210055555555952,2,0,12,0.5
01467200_l1,3h,0.9995,17.6432045454547,2,0,4,0.16666666666666666
01467200_l1,3h,0.9999,23.790059365077713,2,0,1,0.041666666666666664
01467200_l1,3h,0.99995,25.307392460316784,2,0,1,0.041666666666666664
01467200_l1,6h,0.99,5.995014492753636,2,2,144,6.0
01467200_l1,6h,0.995,7.422371428571405,2,0,70,2.9166666666666665
01467200_l1,6h,0.999,13.929657276995288,2,0,4,0.16666666666666666
01467200_l1,6h,0.9995,22.002653922569863,2,0,2,0.08333333333333333
01467200_l1,6h,0.9999,31.821087887324754,2,0,1,0.041666666666666664
01467200_l1,6h,0.99995,33.23877915492886,2,0,1,0.041666666666666664
01467200_l1,12h,0.99,6.2819487003824905,2,0,130,5.416666666666667
01467200_l1,12h,0.995,9.529523288266505,2,0,6,0.25
01467200_l1,12h,0.999,24.537137906065443,2,0,2,0.08333333333333333
01467200_l1,12h,0.9995,27.30504131329718,2,0,2,0.08333333333333333
01467200_l1,12h,0.9999,29.520162304176534,2,0,1,0.041666666666666664
01467200_l1,12h,0.99995,29.592176388889,2,0,1,0.041666666666666664
01467200_l2,1h,0.99,7.6000000000000005,5,3,222,9.25
01467200_l2,1h,0.995,9.2,5,3,138,5.75
01467200_l2,1h,0.999,12.799358333333414,5,2,41,1.7083333333333333
01467200_l2,1h,0.9995,14.216666666666665,5,1,23,0.9583333333333334
01467200_l2,1h,0.9999,16.723473181818154,5,1,9,0.375
01467200_l2,1h,0.99995,17.617237575757176,5,1,4,0.16666666666666666
01467200_l2,3h,0.99,9.238813492063503,5,2,227,9.458333333333334
01467200_l2,3h,0.995,10.803787698412672,5,2,106,4.416666666666667
01467200_l2,3h,0.999,14.112108220211582,5,1,14,0.5833333333333334
01467200_l2,3h,0.9995,17.482763888889334,5,1,6,0.25
01467200_l2,3h,0.9999,23.794826904760818,5,0,2,0.08333333333333333
01467200_l2,3h,0.99995,25.309307837303745,5,0,2,0.08333333333333333
01467200_l2,6h,0.99,6.227777777777777,5,5,131,5.458333333333333
01467200_l2,6h,0.995,8.25705985915503,5,5,69,2.875
01467200_l2,6h,0.999,15.405240678798933,5,1,5,0.20833333333333334
01467200_l2,6h,0.9995,22.007644839934187,5,0,2,0.08333333333333333
01467200_l2,6h,0.9999,31.827509518784005,5,0,1,0.041666666666666664
01467200_l2,6h,0.99995,33.239354534428415,5,0,1,0.041666666666666664
01467200_l2,12h,0.99,7.716856940561852,5,5,22,0.9166666666666666
01467200_l2,12h,0.995,10.84591269590873,5,5,10,0.4166666666666667
01467200_l2,12h,0.999,24.539643158260176,5,0,2,0.08333333333333333
01467200_l2,12h,0.9995,27.30746912661806,5,0,2,0.08333333333333333
01467200_l2,12h,0.9999,29.520539534189506,5,0,1,0.041666666666666664
01467200_l2,12h,0.99995,29.592281641236195,5,0,1,0.041666666666666664
01467200_l3,1h,0.99,7.766391065254509,7,4,228,9.5
01467200_l3,1h,0.995,9.300000000000002,7,3,142,5.916666666666667
01467200_l3,1h,0.999,13.240834913691902,7,1,40,1.6666666666666667
01467200_l3,1h,0.9995,14.712450000000052,7,0,20,0.8333333333333334
01467200_l3,1h,0.9999,17.94182965906117,7,0,4,0.16666666666666666
01467200_l3,1h,0.99995,22.65925587624583,7,0,2,0.08333333333333333
01467200_l3,3h,0.99,9.146917460317468,7,2,228,9.5
01467200_l3,3h,0.995,10.762857142857154,7,1,108,4.5
01467200_l3,3h,0.999,13.686179347843087,7,1,14,0.5833333333333334
01467200_l3,3h,0.9995,17.137133333333704,7,0,5,0.20833333333333334
01467200_l3,3h,0.9999,23.802388444447562,7,0,1,0.041666666666666664
01467200_l3,3h,0.99995,25.312345714286977,7,0,1,0.041666666666666664
01467200_l3,6h,0.99,6.232008573178193,7,6,134,5.583333333333333
01467200_l3,6h,0.995,7.842984015836954,7,3,73,3.0416666666666665
01467200_l3,6h,0.999,13.564286327608801,7,1,35,1.4583333333333333
01467200_l3,6h,0.9995,21.98063927374664,7,0,2,0.08333333333333333
01467200_l3,6h,0.9999,31.83779630281414,7,0,1,0.041666666666666664
01467200_l3,6h,0.99995,33.240276232394905,7,0,1,0.041666666666666664
01467200_l3,12h,0.99,6.764680515884771,7,4,97,4.041666666666667
01467200_l3,12h,0.995,9.558673802065833,7,2,7,0.2916666666666667
01467200_l3,12h,0.999,23.996494439786247,7,0,2,0.08333333333333333
01467200_l3,12h,0.9995,26.8928824889825,7,0,2,0.08333333333333333
01467200_l3,12h,0.9999,28.40897094208674,7,0,1,0.041666666666666664
01467200_l3,12h,0.99995,28.691492735856826,7,0,1,0.041666666666666664
02054550_l1,1h,0.99,17.63333333333334,1,0,402,16.75
02054550_l1,1h,0.995,38.56250000000001,1,0,169,7.041666666666667
02054550_l1,1h,0.999,110.3414393939384,1,0,23,0.9583333333333334
02054550_l1,1h,0.9995,145.81250000000486,1,0,13,0.5416666666666666
02054550_l1,1h,0.9999,293.2151666666841,1,0,3,0.125
02054550_l1,1h,0.99995,384.3765833332354,1,0,3,0.125
02054550_l1,3h,0.99,43.686928571428545,1,0,240,10.0
02054550_l1,3h,0.995,90.91601388888878,1,0,112,4.666666666666667
02054550_l1,3h,0.999,216.1491694444407,1,0,19,0.7916666666666666
02054550_l1,3h,0.9995,294.16971111111087,1,0,4,0.16666666666666666
02054550_l1,3h,0.9999,411.7120591666692,1,0,3,0.125
02054550_l1,3h,0.99995,480.22468886114046,1,0,2,0.08333333333333333
02054550_l1,6h,0.99,75.17048611111113,1,0,162,6.75
02054550_l1,6h,0.995,136.19552034428793,1,0,80,3.3333333333333335
02054550_l1,6h,0.999,298.43179563492066,1,0,8,0.3333333333333333
02054550_l1,6h,0.9995,388.7077126902831,1,0,3,0.125
02054550_l1,6h,0.9999,463.75597735719924,1,0,2,0.08333333333333333
02054550_l1,6h,0.99995,467.14637592918274,1,0,1,0.041666666666666664
02054550_l1,12h,0.99,106.93414939309038,1,0,184,7.666666666666667
02054550_l1,12h,0.995,176.84084623015931,1,0,125,5.208333333333333
02054550_l1,12h,0.999,315.33488433110983,1,0,29,1.2083333333333333
02054550_l1,12h,0.9995,417.32189008023886,1,0,2,0.08333333333333333
02054550_l1,12h,0.9999,497.0657297648233,1,0,1,0.041666666666666664
02054550_l1,12h,0.99995,506.61406678239854,1,0,1,0.041666666666666664
02054550_l2,1h,0.99,17.659583333333305,2,0,402,16.75
02054550_l2,1h,0.995,38.64416666666707,2,0,168,7.0
