dataset,gauge,level,median,std,mad,step_mad,window,k,thresh,n_events,detected,n_flagged,pct_flagged,n_clusters,fp_clusters
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,0.5,1.5567299999999997,2,2,5205,2.4689776867030964,3003,2999
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,1.0,3.1134599999999995,2,2,1747,0.828684729811779,1409,1405
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,2.0,6.226919999999999,2,2,337,0.1598550394656952,333,331
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,3.0,9.340379999999998,2,0,123,0.05834471766848816,123,123
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,4.0,12.453839999999998,2,0,42,0.019922586520947177,42,42
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,5.0,15.567299999999998,2,0,12,0.005692167577413479,12,12
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,6.0,18.680759999999996,2,0,1,0.0004743472981177899,1,1
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,8.0,24.907679999999996,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,10.0,31.134599999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,12.0,37.36151999999999,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,15.0,46.701899999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,1h,20.0,62.26919999999999,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,0.5,1.5567299999999997,2,2,8806,4.177102307225258,1417,1415
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,1.0,3.1134599999999995,2,2,2846,1.3499924104432302,898,896
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,2.0,6.226919999999999,2,1,704,0.3339404978749241,253,252
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,3.0,9.340379999999998,2,0,211,0.10008727990285367,85,85
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,4.0,12.453839999999998,2,0,53,0.025140406800242866,25,25
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,5.0,15.567299999999998,2,0,7,0.0033204310868245293,7,7
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,6.0,18.680759999999996,2,0,4,0.0018973891924711596,4,4
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,8.0,24.907679999999996,2,0,1,0.0004743472981177899,1,1
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,10.0,31.134599999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,12.0,37.36151999999999,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,15.0,46.701899999999995,2,0,0,0.0,0,0
01467200_l1,01467200,l1,6.5,5.228699560972647,3.1134599999999995,0.7413,3h,20.0,62.26919999999999,2,0,0,0.0,0,0
